,Cena,Približno,Neto cena,DDV,Bivalna površina,Število sob,Leto izgradnje,Vrsta ponudbe,Lokacija,Število nadstropij,Vrsta hiše (gradnja),Vrsta hiše,Neto površina,Površina parcele,Leto zadnje prenove,Opremljenost in stanje,Število parkirnih mest,Balkon / terasa / atrij,Zunanje površine in oprema,Vrsta cene,Oglas je objavljen,Do poteka še,Oglas je prikazan,Link,Šifra oglasa,Možnost menjave,Interna številka oglasa,Energetski razred
62,39.000 €,,,,"67,00 m²",2,,Prodam,"Pomurska, Lendava, Lendava",Pritlična,"Zidana hiša (beton, opeka)",Samostojna,,"2.800,00 m²",2021,Neopremljeno,,Terasa,"Vrt/dvorišče, Lopa za shranjevanje, Vrtna uta",Skupna cena,10.09.2022. ob 15:06,Št. dni: 10 in 1 h,5152 -krat,https://www.bolha.com/nepremicnine/lendava-okolica-cca-30-min-oglas-9685178,9685178,,,EI v izdelavi
63,Po dogovoru,,,,,,2001,Prodam,"Jugovzhodna Slovenija, Škocjan, Škocjan",Enonadstropna,"Zidana hiša (beton, opeka)",Samostojna,,,,Popolnoma opremljeno,4,Balkon,"Vrt/dvorišče, Lopa za shranjevanje",Skupna cena,10.09.2022. ob 13:29,Št. dni: 25 in 4 h,451 -krat,https://www.bolha.com/nepremicnine/kupim-vikend-pocitnisko-hisico-morju-hrvaska-oglas-8880902,8880902,Možna menjava za drugo nepremičnino,,
64,269.000 €,,,,"165,56 m²",6,2003,Prodam,"Goriška, Bovec, Bovec",Večnadstropna,"Zidana hiša (beton, opeka)",Dvojček,"139,02 m²","178,00 m²",,,,"Balkon, Atrij",Vrt/dvorišče,Skupna cena,10.09.2022. ob 12:42,do prodaje,167 -krat,https://www.bolha.com/nepremicnine/lokacija-hise-bovec-165.00-m2-oglas-9940313,9940313,,303,
65,164.000 €,,,,"82,40 m²",4,1995,Prodam,"Podravska, Maribor okolica, Jelovec",Enonadstropna,"Zidana hiša (beton, opeka)",Samostojna,"82,40 m²","778,00 m²",2015,Popolnoma opremljeno,3,"Balkon, Loža","Vrt/dvorišče, Lopa za shranjevanje, Vrtna uta, Žar",Skupna cena,10.09.2022. ob 07:42,Št. dni: 24 in 22 h,734 -krat,https://www.bolha.com/nepremicnine/lokacija-hise-srednje-82.00-m2-oglas-9939178,9939178,,,
66,195.000 €,,,,"160,00 m²",9,,Prodam,"Podravska, Hoče, Hoče",Visokopritlična,"Zidana hiša (beton, opeka)",Samostojna,"160,00 m²","375,00 m²",2020,,,"Balkon, Terasa",,Skupna cena,09.09.2022. ob 21:13,Št. dni: 24 in 11 h,523 -krat,https://www.bolha.com/nepremicnine/hisa-dvostanovanjska-maribor-hoce-160.00-m2-obnovljeno-l-2020-oglas-9938003,9938003,,,
67,150.000 €,,,,"147,80 m²",5,1970,Prodam,"Pomurska, Gornja Radgona, Orehovski Vrh",Dvonadstropna,"Zidana hiša (beton, opeka)",Samostojna,"227,12 m²","9.970,00 m²",1999,Popolnoma opremljeno,,"Balkon, Terasa","Vrt/dvorišče, Lopa za shranjevanje, Vrtna uta",Skupna cena,09.09.2022. ob 21:09,Št. dni: 24 in 11 h,4076 -krat,https://www.bolha.com/nepremicnine/lokacija-hise-orehovski-vrh-147.00-m2-oglas-7851453,7851453,Menjava za drugo nepremičnino ni možna,,C (35 - 60 kWh/m²a)
68,99.900 €,,,,"170,00 m²",9,1914,Prodam,"Pomurska, Turnišče, Gomilica",Enonadstropna,"Zidana hiša (beton, opeka)",Samostojna,,"780,00 m²",2020,Popolnoma opremljeno,,"Balkon, Terasa, Loža","Vrt/dvorišče, Lopa za shranjevanje",Skupna cena,09.09.2022. ob 19:52,Št. dni: 24 in 10 h,9812 -krat,https://www.bolha.com/nepremicnine/hisa-pomurska-moravske-toplice-turnisce-dvostanovanjska-170-m-oglas-1427266,1427266,Možna menjava za drugo nepremičnino,,D (60 - 105 kWh/m²a)
69,195.000 €,,,,"220,00 m²",5,1900,Prodam,"Jugovzhodna Slovenija, Črnomelj, Črnomelj",Visokopritlična,"Zidana hiša (beton, opeka)",Samostojna,,"1.000,00 m²",2011,,,Terasa,,Skupna cena,09.09.2022. ob 18:47,Št. dni: 24 in 9 h,5033 -krat,https://www.bolha.com/nepremicnine/hisa-jugovzhodna-slovenija-crnomelj-center-samostojna-220-m2-oglas-1430200,1430200,Možna menjava za drugo nepremičnino,,C (35 - 60 kWh/m²a)
70,249.000 €,,,,"254,00 m²",9,1980,Prodam,"Podravska, Kungota, Gradiška",Dvonadstropna,"Zidana hiša (beton, opeka)",Stanovanjsko-poslovna,"395,00 m²","19.000,00 m²",2013,Delno opremljeno,7+,"Balkon, Zaprt balkon, Terasa, Loža, Atrij","Vrt/dvorišče, Lopa za shranjevanje",Skupna cena,09.09.2022. ob 16:14,1 dan in 9 h,3939 -krat,https://www.bolha.com/nepremicnine/gradiska-542-kungota-oglas-8056319,8056319,,,G (210+ kWh/m²a)
71,Po dogovoru,,,,"199,00 m²",6,1975,Prodam,"Osrednjeslovenska, Trzin, Trzin",Dvonadstropna,"Zidana hiša (beton, opeka)",Samostojna,"199,00 m²","530,00 m²",2019,Popolnoma opremljeno,3,"Balkon, Terasa","Vrt/dvorišče, Lopa za shranjevanje, Vrtna uta, Žar",Skupna cena,09.09.2022. ob 15:29,Št. dni: 24 in 6 h,233 -krat,https://www.bolha.com/nepremicnine/lokacija-hise-trzin-199.00-m2-oglas-9936837,9936837,,,
72,370.000 €,,,,"282,00 m²",5,1970,Prodam,"Podravska, Maribor, Studenci",,"Zidana hiša (beton, opeka)",Samostojna,"282,00 m²","900,00 m²",2005,Delno opremljeno,brez pripadajočega parkirišča,,,Skupna cena,09.09.2022. ob 15:12,do prodaje,271 -krat,https://www.bolha.com/nepremicnine/prodaja-hisa-samostojna-podravska-maribor-studenci-oglas-9936755,9936755,,PH4647678DL-2,
73,449.000 €,,,,"136,70 m²",5,2006,Prodam,"Gorenjska, Naklo, Podbrezje",,,Samostojna,"240,70 m²","602,00 m²",,Popolnoma opremljeno,brez pripadajočega parkirišča,"Balkon, Terasa",Vrt/dvorišče,Skupna cena,09.09.2022. ob 15:11,do prodaje,128 -krat,https://www.bolha.com/nepremicnine/naklo-podbrezje-hisa-samostojna-prodaja-oglas-9936731,9936731,Menjava za drugo nepremičnino ni možna,109208-74,D (60 - 105 kWh/m²a)
74,170.000 €,,,,"129,00 m²",,1940,Prodam,"Podravska, Miklavž na Dravskem polju, Dobrovce",,,Samostojna,,"1.927,00 m²",2003,,,,"Vrt/dvorišče, Lopa za shranjevanje",Skupna cena,09.09.2022. ob 12:38,do prodaje,10225 -krat,https://www.bolha.com/nepremicnine/veliko-stavbno-zemljisce-v-zelenju-dobrovc-z-dvema-manjsima-hisama-oglas-6896731,6896731,,,G (210+ kWh/m²a)
75,420.000 €,,,,"143,70 m²",4,2019,Prodam,"Osrednjeslovenska, Brezovica pri Ljubljani, Jezero",Dvonadstropna,,Dvojček,,"172,00 m²",,,,,,Skupna cena,09.09.2022. ob 12:05,do prodaje,148 -krat,https://www.bolha.com/nepremicnine/lokacija-hise-jezero-143.00-m2-oglas-9936024,9936024,,,C (35 - 60 kWh/m²a)
76,Po dogovoru,,,,"130,00 m²",6,1989,Prodam,"Jugovzhodna Slovenija, Kočevje, Cvišlerji",Dvonadstropna,"Zidana hiša (beton, opeka)",Kmetija,"130,00 m²","550,00 m²",2016,Popolnoma opremljeno,,Balkon,"Vrt/dvorišče, Lopa za shranjevanje, Vrtna uta, Žar",Skupna cena,09.09.2022. ob 11:44,Št. dni: 24 in 2 h,1385 -krat,https://www.bolha.com/nepremicnine/lokacija-hise-cvislerji-130.00-m2-oglas-9603221,9603221,,,EI v izdelavi
77,Po dogovoru,,,,"180,00 m²",5,,Prodam,"Podravska, Maribor, Limbuš",Pritlična,"Zidana hiša (beton, opeka)",Stanovanjsko-poslovna,"175,00 m²","496,00 m²",,,,,,Skupna cena,09.09.2022. ob 11:35,Št. dni: 24 in 2 h,4906 -krat,https://www.bolha.com/nepremicnine/lokacija-hise-limbus-oglas-8294338,8294338,,,
78,135.000 €,,,,"78,50 m²",3,1929,Prodam,"Podravska, Maribor, Tabor",Enonadstropna,"Zidana hiša (beton, opeka)",Dvostanovanjska,,"182,00 m²",2015,Popolnoma opremljeno,2,,Vrt/dvorišče,Skupna cena,09.09.2022. ob 11:17,Št. dni: 24 in 1 h,9753 -krat,https://www.bolha.com/nepremicnine/lokacija-hise-tabor-78.00-m2-oglas-8690999,8690999,Menjava za drugo nepremičnino ni možna,,
79,225.000 €,,,,,4,1959,Prodam,"Podravska, Maribor, Tezno",,,Samostojna,"151,00 m²","519,00 m²",2019,Popolnoma opremljeno,,Balkon,Vrt/dvorišče,Skupna cena,09.09.2022. ob 10:16,Št. dni: 24,430 -krat,https://www.bolha.com/nepremicnine/lokacija-hise-tezno-oglas-9935521,9935521,Možna menjava za drugo nepremičnino,,
80,139.900 €,,,,"120,00 m²",5,1991,Prodam,"Podravska, Šentilj v Slovenskih goricah, Šentilj v Slovenskih goricah",Enonadstropna,"Zidana hiša (beton, opeka)",Samostojna,"160,00 m²","7.930,00 m²",2021,,,Balkon,"Vrt/dvorišče, Lopa za shranjevanje, Vrtna uta",Skupna cena,09.09.2022. ob 09:32,do prodaje,487 -krat,https://www.bolha.com/nepremicnine/vzdrzevana-druzinska-hisa-v-blizini-avstrijske-meje-sentilj-oglas-9935317,9935317,Možna menjava za drugo nepremičnino,5494,F (150 - 210 kWh/m²a)
81,75.000 €,,,,"53,00 m²",3,,Prodam,"Podravska, Maribor, Center",Pritlična,"Zidana hiša (beton, opeka)",Samostojna,,,,,,,,Skupna cena,09.09.2022. ob 09:27,Št. dni: 24,1017 -krat,https://www.bolha.com/nepremicnine/hisa-v-centru-mesta-oglas-9935296,9935296,,,
82,105.000 €,,,,"177,00 m²",,1968,Prodam,"Savinjska, Šmarje pri Jelšah, Šentvid pri Grobelnem",,,Samostojna,,"1.861,00 m²",2008,,,,,Skupna cena,09.09.2022. ob 08:56,do prodaje,293 -krat,https://www.bolha.com/nepremicnine/hisa-samostojna-sentvid-pri-grobelnem-177-m2-oglas-9935146,9935146,,,
83,119.000 €,,,,"158,40 m²",,1990,Prodam,"Podravska, Ormož, Loperšice",,,Samostojna,"198,00 m²","2.843,00 m²",2020,Delno opremljeno,,"Balkon, Terasa",,Skupna cena,09.09.2022. ob 08:15,do prodaje,721 -krat,https://www.bolha.com/nepremicnine/hisa-z-razgledom-podravska-ormoz-oglas-9935034,9935034,,03272-902,B2 (25 - 35 kWh/m²a)
84,620.000 €,,,,"550,00 m²",1,2001,Prodam,"Podravska, Slovenska Bistrica, Zgornja Polskava",Visokopritlična,,Samostojna,,"2.000,00 m²",,,,"Balkon, Terasa",,Skupna cena,09.09.2022. ob 07:25,1 dan in 5 h,11987 -krat,https://www.bolha.com/nepremicnine/hisa-podravska-slovenska-bistrica-samostojna-550-m2-prodam-oglas-1437359,1437359,,,
85,1.250.000 €,,,,,10+,2002,Prodam,"Savinjska, Celje, Škofja vas",,,,,,,,,,Vrt/dvorišče,Skupna cena,09.09.2022. ob 00:20,do prodaje,433 -krat,https://www.bolha.com/nepremicnine/vila-obrobju-celja-v-skofji-vasi-oglas-9933092,9933092,,490281026-192,
86,460.000.000 €,,,,"270,00 m²",,1907,Prodam,"Osrednjeslovenska, Logatec, Logatec",Večnadstropna,"Zidana hiša (beton, opeka)",Samostojna,"300,00 m²","538,00 m²",2008,Delno opremljeno,4,Terasa,"Vrt/dvorišče, Lopa za shranjevanje",Skupna cena,08.09.2022. ob 20:59,Št. dni: 23 in 11 h,706 -krat,https://www.bolha.com/nepremicnine/lokacija-hise-logatec-150.00-m2-oglas-9549196,9549196,,,
87,140.000 €,,,,,,,Prodam,"Savinjska, Zreče, Skomarje",,,,,,,,,,,Skupna cena,08.09.2022. ob 19:57,1 dan in 3 h,1101 -krat,https://www.bolha.com/nepremicnine/lokacija-hise-skomarje-zrece-oglas-9799692,9799692,,,
88,110.000 €,,,,"110,00 m²",,1988,Prodam,"Podravska, Šentilj v Slovenskih goricah, Zgornja Velka",Enonadstropna,,Samostojna,"230,00 m²","1.700,00 m²",,Popolnoma opremljeno,,Terasa,"Vrt/dvorišče, Vrtna uta",Skupna cena,08.09.2022. ob 17:59,Št. dni: 23 in 8 h,2649 -krat,https://www.bolha.com/nepremicnine/lokacija-hise-zgornja-velka-110.00-m2-oglas-9300897,9300897,,,EI v izdelavi
89,100.000 €,,,,"120,00 m²",3,1980,Prodam,"Podravska, Ptuj, Spuhlja",Enonadstropna,"Zidana hiša (beton, opeka)",Samostojna,"180,00 m²","1.500,00 m²",2015,Delno opremljeno,,,,Skupna cena,08.09.2022. ob 17:38,Št. dni: 23 in 8 h,3627 -krat,https://www.bolha.com/nepremicnine/hisa-z-gospodarskim-poslopjem-podravska-ptuj-177m2-oglas-9931757,9931757,,,
90,1.100.000 €,,,,"292,00 m²",6,2003,Prodam,"Gorenjska, Radovljica, Radovljica",Enonadstropna,,Stanovanjsko-poslovna,,"4.055,00 m²",2022,Popolnoma opremljeno,7+,"Balkon, Terasa","Vrt/dvorišče, Lopa za shranjevanje, Vrtna uta",Skupna cena,08.09.2022. ob 17:03,Št. dni: 23 in 7 h,8725 -krat,https://www.bolha.com/nepremicnine/poslovno-stanovanjska-hisa-radovljica-oglas-1430110,1430110,Menjava za drugo nepremičnino ni možna,,D (60 - 105 kWh/m²a)
91,15.000 €,,,,"94,00 m²",1,1990,Prodam,"Podravska, Cirkulane, Cirkulane",Pritlična,Kamnita hiša,Samostojna,,"558,00 m²",2005,Potrebno obnove,,,"Vrt/dvorišče, Lopa za shranjevanje",Skupna cena,08.09.2022. ob 15:28,Št. dni: 23 in 6 h,9837 -krat,https://www.bolha.com/nepremicnine/hisa-podravska-cirkulane-brezovec-samostojna-94.00-m2-prodam-oglas-1426924,1426924,Možna menjava za drugo nepremičnino,,
92,459.000 €,,,,"277,00 m²",5,1820,Prodam,"Osrednjeslovenska, Kamnik, Kamnik",,"Zidana hiša (beton, opeka)",,"277,00 m²","238,00 m²",2016,Popolnoma opremljeno,,,,Skupna cena,08.09.2022. ob 15:12,do prodaje,151 -krat,https://www.bolha.com/nepremicnine/prodaja-hisa-vrstna-osrednjeslovenska-kamnik-kamnik-oglas-9930983,9930983,,PH22901266859308IB,
93,"499.940,87 €",,,,"172,00 m²",6,2021,Prodam,"Podravska, Maribor, Radvanje",Enonadstropna,"Zidana hiša (beton, opeka)",Samostojna,"301,00 m²","385,00 m²",,Neopremljeno,2,"Balkon, Terasa","Vrt/dvorišče, Zimski vrt, Vrtna uta, Žar, Bazen",Skupna cena,08.09.2022. ob 14:53,do prodaje,14293 -krat,https://www.bolha.com/nepremicnine/nadstandardna-nizkoenergijska-pametna-hisa-enonadstropna-172.00-m2-oglas-3802772,3802772,,,B1 (15 - 25 kWh/m²a)
94,328.500 €,,,,"140,00 m²",6,2021,Prodam,"Podravska, Maribor, Radvanje",Enonadstropna,"Zidana hiša (beton, opeka)",Vrstna,"170,00 m²","137,00 m²",,Neopremljeno,3,"Balkon, Terasa","Vrt/dvorišče, Zimski vrt, Lopa za shranjevanje, Vrtna uta, Žar, Bazen",Skupna cena,08.09.2022. ob 14:52,do prodaje,17535 -krat,https://www.bolha.com/nepremicnine/nadstandardna-hisa-zg-radvanje-enonadstropna-140.00-m2-oglas-3802734,3802734,,,B1 (15 - 25 kWh/m²a)
95,340.000 €,,,,"190,00 m²",5,2022,Prodam,"Osrednjeslovenska, Medvode, Rakovnik",Enonadstropna,"Zidana hiša (beton, opeka)",Samostojna,,"460,00 m²",,Nedokončana gradnja,2,,Vrt/dvorišče,Skupna cena,08.09.2022. ob 13:33,Št. dni: 23 in 4 h,682 -krat,https://www.bolha.com/nepremicnine/lokacija-hise-rakovnik-190.00-m2-oglas-9515072,9515072,,,
96,Po dogovoru,,,,,5,1978,Prodam,"Pomurska, Kuzma, Kuzma",Enonadstropna,"Zidana hiša (beton, opeka)",Samostojna,,"2.500,00 m²",2018,Popolnoma opremljeno,,"Balkon, Terasa","Vrt/dvorišče, Lopa za shranjevanje, Žar",Skupna cena,08.09.2022. ob 12:14,Št. dni: 23 in 2 h,980 -krat,https://www.bolha.com/nepremicnine/lokacija-hise-kuzma-oglas-9372506,9372506,,,
97,630.000 €,,,,"146,00 m²",,1605,Prodam,"Gorenjska, Bled, Bled",,Kamnita hiša,Samostojna,,"782,00 m²",,,,,,Skupna cena,08.09.2022. ob 10:10,do prodaje,115 -krat,https://www.bolha.com/nepremicnine/lokacija-hise-bled-146.00-m2-oglas-9929568,9929568,,HP4101,
98,350.000 €,,,,,6,2022,Prodam,"Savinjska, Vojnik, Frankolovo",Večnadstropna,,Samostojna,,,,,,,Bazen,Skupna cena,08.09.2022. ob 00:21,do prodaje,546 -krat,https://www.bolha.com/nepremicnine/moderna-enodruzinska-hisa-oglas-9927537,9927537,,490281029-77,
99,204.000 €,,,,,5,1993,Prodam,"Savinjska, Žalec, Žalec",,,Samostojna,,,,,4,,Vrt/dvorišče,Skupna cena,08.09.2022. ob 00:21,do prodaje,585 -krat,https://www.bolha.com/nepremicnine/druzinska-hisa-galicija-celje-zalec-oglas-9927534,9927534,,490281025-72,
100,105.000 €,,,,,3,1956,Prodam,"Podravska, Duplek, Spodnji Duplek",,,Samostojna,"76,00 m²","1.830,00 m²",,Delno opremljeno,,,"Vrt/dvorišče, Lopa za shranjevanje",Skupna cena,07.09.2022. ob 19:07,Št. dni: 22 in 9 h,3074 -krat,https://www.bolha.com/nepremicnine/lokacija-hise-spodnji-duplek-korenska-cesta-oglas-9783104,9783104,Menjava za drugo nepremičnino ni možna,,D (60 - 105 kWh/m²a)
101,Po dogovoru,,,,,4,1850,Prodam,"Osrednjeslovenska, Kamnik, Laze v Tuhinju",Pritlična,Kamnita hiša,Samostojna,"100,00 m²","372,00 m²",1974,,,Balkon,,Skupna cena,07.09.2022. ob 18:35,Št. dni: 22 in 9 h,1848 -krat,https://www.bolha.com/nepremicnine/lokacija-hise-laze-v-tuhinju-oglas-8776310,8776310,,,
102,350.000 €,,,,"274,00 m²",7,1979,Prodam,"Podravska, Duplek, Spodnji Duplek",Enonadstropna,"Zidana hiša (beton, opeka)",Samostojna,"350,00 m²","794,00 m²",2015,Popolnoma opremljeno,6,"Balkon, Zaprt balkon, Terasa, Atrij","Vrt/dvorišče, Zimski vrt, Lopa za shranjevanje, Vrtna uta, Žar, Bazen",Skupna cena,07.09.2022. ob 18:04,do prodaje,2339 -krat,https://www.bolha.com/nepremicnine/lokacija-hise-spodnji-duplek-274.00-m2-oglas-9590729,9590729,Možna menjava za drugo nepremičnino,,D (60 - 105 kWh/m²a)
103,199.000 €,,,,"437,00 m²",10+,1980,Prodam,"Jugovzhodna Slovenija, Metlika, Metlika",Enonadstropna,"Zidana hiša (beton, opeka)",Samostojna,"437,00 m²","5.035,00 m²",2018,Popolnoma opremljeno,5,"Balkon, Terasa","Vrt/dvorišče, Lopa za shranjevanje",Skupna cena,07.09.2022. ob 16:37,Št. dni: 22 in 7 h,1604 -krat,https://www.bolha.com/nepremicnine/lokacija-hise-metlika-280.00-m2-oglas-8829988,8829988,,,
104,228.000 €,,,,"202,00 m²",5,1977,Prodam,"Goriška, Kanal ob Soči, Ročinj",,"Zidana hiša (beton, opeka)",Samostojna,"202,00 m²","2.510,00 m²",,Popolnoma opremljeno,1,,,Skupna cena,07.09.2022. ob 15:12,do prodaje,108 -krat,https://www.bolha.com/nepremicnine/prodaja-hisa-samostojna-severna-primorska-kanal-rocinj-oglas-9926148,9926148,,PH22901266859161KM-1,
105,249.000 €,,,,"158,00 m²",6,2022,Prodam,"Podravska, Hoče, Rogoza",,,Samostojna,"158,00 m²","505,00 m²",,,2,,,Skupna cena,07.09.2022. ob 15:11,do prodaje,1048 -krat,https://www.bolha.com/nepremicnine/hoce-slivnica-rogoza-hisa-samostojna-prodaja-oglas-9926135,9926135,Menjava za drugo nepremičnino ni možna,100103-208,
106,162.000 €,,,,"156,20 m²",7,1964,Prodam,"Pomurska, Gornja Radgona, Gornja Radgona",,,Samostojna,"264,70 m²","763,00 m²",2001,Delno opremljeno,2,Terasa,Vrt/dvorišče,Skupna cena,07.09.2022. ob 15:11,do prodaje,369 -krat,https://www.bolha.com/nepremicnine/gornja-radgona-hisa-samostojna-prodaja-oglas-9926132,9926132,Menjava za drugo nepremičnino ni možna,100212-47,D (60 - 105 kWh/m²a)
107,230.000 €,,,,"82,00 m²",10+,2000,Prodam,"Goriška, Bovec, Bovec",,,Ostalo,"82,00 m²","309,00 m²",,,,,,Skupna cena,07.09.2022. ob 15:11,do prodaje,114 -krat,https://www.bolha.com/nepremicnine/hisa-bovec-230.000.00-oglas-9926127,9926127,,4789-H-2022,E (105 - 150 kWh/m²a)
108,45.000 €,,,,"60,00 m²",10+,1931,Prodam,"Goriška, Šempeter pri Gorici, Vrtojba",,,Vrstna,"60,00 m²","142,00 m²",,,,,,Skupna cena,07.09.2022. ob 15:11,do prodaje,423 -krat,https://www.bolha.com/nepremicnine/hisa-vrstna-hisa-vrtojba-45.000.00-oglas-9926126,9926126,,4790-H-2022,G (210+ kWh/m²a)
109,265.000 €,,,,"130,00 m²",5,,Prodam,"Podravska, Maribor, Tezno",Enonadstropna,,Samostojna,,"255,00 m²",,,,,"Vrt/dvorišče, Lopa za shranjevanje",Skupna cena,07.09.2022. ob 13:46,Št. dni: 22 in 4 h,3131 -krat,https://www.bolha.com/nepremicnine/lokacija-hise-tezno-130.00-m2-oglas-7446327,7446327,,,
110,195.000 €,,,,,,,Prodam,"Posavska, Krško, Selo",,,Kmetija,,,,,,,,Skupna cena,07.09.2022. ob 10:44,Št. dni: 22 in 1 h,207 -krat,https://www.bolha.com/nepremicnine/lokacija-hise-selo-6-podbocje-oglas-9619729,9619729,,,
111,334.000 €,,,,"86,00 m²",7,1937,Prodam,"Osrednjeslovenska, Medvode, Medvode",Dvonadstropna,"Zidana hiša (beton, opeka)",Samostojna,"130,00 m²","5.494,00 m²",2005,Popolnoma opremljeno,4,Balkon,"Vrt/dvorišče, Lopa za shranjevanje, Žar",Skupna cena,07.09.2022. ob 10:35,Št. dni: 22 in 1 h,200 -krat,https://www.bolha.com/nepremicnine/lokacija-hise-medvode-86.00-m2-oglas-9924961,9924961,,,D (60 - 105 kWh/m²a)
112,245.000 €,,,,"98,00 m²",,1900,Prodam,"Obalno-kraška, Koper, Škofije",Enonadstropna,Kamnita hiša,Vrstna,,"38,00 m²",2000,,,Balkon,Vrt/dvorišče,Skupna cena,07.09.2022. ob 10:23,Št. dni: 22 in 1 h,2628 -krat,https://www.bolha.com/nepremicnine/lokacija-hise-skofije-98.00-m2-oglas-8376925,8376925,,,
113,199.000 €,,,,"150,00 m²",6,1995,Prodam,"Pomurska, Murska Sobota, Satahovci",Večnadstropna,"Zidana hiša (beton, opeka)",Samostojna,"400,00 m²","150,00 m²",2013,,,"Balkon, Terasa",,Skupna cena,07.09.2022. ob 09:29,Št. dni: 22,764 -krat,https://www.bolha.com/nepremicnine/lokacija-hise-murski-crnci-oglas-9741187,9741187,,,
114,220.000 €,,,,"257,00 m²",7,2000,Prodam,"Jugovzhodna Slovenija, Novo mesto, Otočec",Dvonadstropna,"Zidana hiša (beton, opeka)",Samostojna,"257,00 m²","220,00 m²",,Delno opremljeno,4,"Balkon, Terasa","Vrt/dvorišče, Lopa za shranjevanje, Vrtna uta, Žar",Skupna cena,07.09.2022. ob 09:06,Št. dni: 21 in 23 h,225 -krat,https://www.bolha.com/nepremicnine/lokacija-hise-otocec-257.00-m2-oglas-9924560,9924560,Menjava za drugo nepremičnino ni možna,,E (105 - 150 kWh/m²a)
115,99.000 €,,,,"143,78 m²",,2000,Prodam,"Savinjska, Vojnik, Male Dole",,,Samostojna,,"2.209,00 m²",2008,,,,,Skupna cena,07.09.2022. ob 08:17,do prodaje,828 -krat,https://www.bolha.com/nepremicnine/hisa-samostojna-vojnik-male-dole-143.78-m2-oglas-9924424,9924424,,,
116,130.000 €,,,,"82,30 m²",,1937,Prodam,"Pomurska, Puconci, Puconci",,,Samostojna,"135,50 m²","1.048,00 m²",2021,,,Balkon,"Vrt/dvorišče, Lopa za shranjevanje",Skupna cena,07.09.2022. ob 08:15,do prodaje,436 -krat,https://www.bolha.com/nepremicnine/obnovljena-hiska-v-puconcih-oglas-9924418,9924418,,GALEA 2022/4112,D (60 - 105 kWh/m²a)
117,195.000 €,,,,,9,1923,Prodam,"Zasavska, Trbovlje, Trbovlje",,,Samostojna,,,,,,,Vrt/dvorišče,Skupna cena,07.09.2022. ob 00:16,do prodaje,132 -krat,https://www.bolha.com/nepremicnine/samostojna-hisa-v-centru-trbovelj-oglas-9923539,9923539,,490281015-464,G (210+ kWh/m²a)
118,189.000 €,,,,,5,1974,Prodam,"Podravska, Gorišnica, Gorišnica",,,Samostojna,,,,,4,,"Vrtna uta, Lopa za shranjevanje, Vrt/dvorišče",Skupna cena,07.09.2022. ob 00:16,do prodaje,955 -krat,https://www.bolha.com/nepremicnine/cudovita-druzinska-hisa-z-lepo-urejeno-parcelo-oglas-9923534,9923534,,490151032-449,EI ni potrebna (334. člen EZ-1)
119,Po dogovoru,,,,"100,00 m²",3,1980,Prodam,"Podravska, Žetale, Dobrina",Enonadstropna,"Zidana hiša (beton, opeka)",Samostojna,"120,00 m²","1.000,00 m²",2017,Popolnoma opremljeno,,"Balkon, Terasa","Vrt/dvorišče, Vrtna uta",Skupna cena,06.09.2022. ob 21:20,Št. dni: 21 in 11 h,4838 -krat,https://www.bolha.com/nepremicnine/hisa-podravska-zetale-dobrina-samostojna-100-m2-prodam-oglas-1434484,1434484,,,EI v izdelavi
120,260.000 €,,,,"170,47 m²",7,2005,Prodam,"Podravska, Maribor, Pobrežje",Enonadstropna,"Zidana hiša (beton, opeka)",Vrstna,"230,64 m²","296,00 m²",,Delno opremljeno,,"Balkon, Terasa",Vrt/dvorišče,Skupna cena,06.09.2022. ob 16:51,Št. dni: 21 in 7 h,541 -krat,https://www.bolha.com/nepremicnine/lokacija-hise-pobrezje-231-m2-oglas-9922253,9922253,,,EI v izdelavi
121,299.900 €,,,,"10.406,00 m²",5,1920,Prodam,"Goriška, Idrija, Črni Vrh nad Idrijo",,"Zidana hiša (beton, opeka)",Samostojna,"10.406,00 m²","9.054,00 m²",2015,Popolnoma opremljeno,1,,,Skupna cena,06.09.2022. ob 15:13,do prodaje,214 -krat,https://www.bolha.com/nepremicnine/prodaja-hisa-samostojna-severna-primorska-idrija-crni-vrh-oglas-9921855,9921855,,PH22901266859304ZV-1,
